,temperature
171,25.00888888888889
172,25.35
173,25.659166666666668
174,26.22608695652174
175,25.83235294117647
176,25.6303125
177,25.519655172413795
178,25.47714285714286
179,25.291875
180,25.21078947368421
181,24.92194444444444
182,24.62764705882353
183,24.418
184,24.243793103448272
185,24.14555555555556
186,24.02513513513513
187,23.92958333333333
188,23.86375
189,23.769166666666667
190,23.812857142857144
191,23.725135135135137
192,23.95
193,24.172083333333333
194,23.64260869565217
195,24.259615384615383
196,25.528695652173912
197,25.81607142857143
198,26.092758620689654
199,26.198400000000003
200,26.310416666666665
201,26.31875
202,26.32090909090909
203,26.14631578947368
204,26.026666666666667
205,26.499655172413792
206,26.50030303030303
207,25.561
208,24.77777777777778
209,24.295
210,23.956341463414635
211,23.68125
212,23.464285714285715
213,23.213255813953488
214,23.009
215,22.806410256410256
216,22.79
217,24.954
218,25.66111111111111
219,26.22192307692308
220,26.516666666666666
221,26.852083333333336
222,27.14741935483871
223,27.4384
224,27.654242424242423
225,27.633913043478262
226,27.548181818181817
227,27.343076923076925
228,27.06
229,26.946470588235297
230,26.439
231,25.116511627906977
232,24.412820512820517
233,23.960571428571427
234,23.59756097560976
235,23.31542857142857
236,22.966756756756755
237,22.79
238,22.726666666666667
239,22.5334375
240,22.52235294117647
241,24.231379310344828
242,25.87086956521739
243,26.81458333333333
244,27.22888888888889
245,26.45833333333333
246,27.68230769230769
247,27.885172413793104
248,27.7353125
249,27.4825
250,27.290606060606063
251,26.883939393939396
252,26.100625
253,25.225588235294115
254,24.534102564102565
255,24.071315789473687
256,23.740714285714287
257,23.47051282051282
258,23.120882352941177
259,22.8025641025641
260,22.746764705882352
261,22.540294117647058
262,22.79576923076923
263,23.921666666666667
264,24.080384615384617
265,24.736666666666665
266,25.12148148148148
267,25.00611111111111
268,25.0124
269,25.15576923076923
270,25.1905
271,25.2515625
272,25.38428571428571
273,25.07074074074074
274,24.60296296296296
275,24.11368421052632
276,23.755625
277,23.22233333333333
278,22.785925925925927
279,22.4375
280,22.15290322580645
281,21.90875
282,21.664285714285715
283,21.43769230769231
284,21.237407407407407
285,21.060606060606062
286,21.776
287,23.040303030303036
288,23.356086956521743
289,23.72653846153846
290,23.77875
291,23.713043478260868
292,23.541818181818183
293,23.412857142857145
294,23.27142857142857
295,22.96655172413793
296,22.77806451612903
297,22.52076923076923
298,22.338620689655173
299,22.202333333333332
300,22.049642857142857
301,21.94296296296297
302,21.898214285714285
303,21.89756756756757
304,21.879736842105263
305,21.7815625
306,21.6284375
307,21.47344827586207
308,21.41193548387097
309,21.42933333333333
310,21.597619047619048
311,21.817586206896557
312,21.645
313,21.535
314,21.903548387096773
315,22.214782608695653
316,22.318421052631574
317,22.43095238095238
318,22.48592592592593
319,22.34315789473684
320,22.20387096774193
321,22.029444444444444
322,21.91192307692308
323,21.935789473684213
324,21.87
325,21.829642857142854
326,21.82758620689655
327,21.799285714285716
328,21.794736842105262
329,21.78151515151515
330,21.83225806451613
331,21.95809523809524
332,21.860434782608696
333,21.701
334,21.703636363636363
335,22.317666666666664
336,23.0925
337,24.79142857142857
338,25.824583333333333
339,26.1995
340,26.99705882352941
341,27.15277777777778
342,27.06875
343,27.013571428571428
344,27.003125
345,26.728484848484847
346,26.6724
347,26.54975
348,26.23875
349,23.99586956521739
350,22.650392156862747
351,23.56803921568628
352,24.60408163265306
353,24.96274509803921
354,25.112549019607844
355,25.049636363636363
356,24.425
357,26.54
358,27.2315
359,27.079473684210527
360,27.1408
361,27.08241379310345
362,26.60941176470588
363,26.0024
364,25.619411764705884
365,24.606896551724137
366,24.22714285714286
367,24.1755
368,23.862058823529413
369,23.499655172413792
370,23.16217391304348
371,22.883529411764705
372,22.789189189189187
373,22.57696969696969
374,22.30730769230769
375,22.385806451612904
376,23.18914285714286
377,24.569333333333336
378,25.646764705882354
379,26.168125
380,26.27038461538461
381,26.247037037037035
382,26.15869565217391
383,26.168387096774197
384,26.28894736842105
385,26.39130434782609
386,26.051379310344828
387,25.966603773584907
388,25.712
